Duration,Unnamed: 0,Pulse,Maxpulse,Calories
60,0,110,130,409.1
60,1,117,145,479.0
60,2,103,135,340.0
45,3,109,175,282.4
45,4,117,148,406.0
60,5,102,127,300.5
60,6,110,136,374.0
45,7,104,134,253.3
30,8,109,133,195.1
60,9,98,124,269.0
60,10,103,147,329.3
60,11,100,120,250.7
60,12,106,128,345.3
60,13,104,132,379.3
60,14,98,123,275.0
60,15,98,120,215.2
60,16,100,120,300.0
45,17,90,112,
60,18,103,123,323.0
45,19,97,125,243.0
60,20,108,131,364.2
45,21,100,119,282.0
60,22,130,101,300.0
45,23,105,132,246.0
60,24,102,126,334.5
60,25,100,120,250.0
60,26,92,118,241.0
60,27,103,132,
60,28,100,132,280.0
60,29,102,129,380.3
60,30,92,115,243.0
45,31,90,112,180.1
60,32,101,124,299.0
60,33,93,113,223.0
60,34,107,136,361.0
60,35,114,140,415.0
60,36,102,127,300.5
60,37,100,120,300.1
60,38,100,120,300.0
45,39,104,129,266.0
45,40,90,112,180.1
60,41,98,126,286.0
60,42,100,122,329.4
60,43,111,138,400.0
60,44,111,131,397.0
60,45,99,119,273.0
60,46,109,153,387.6
45,47,111,136,300.0
45,48,108,129,298.0
60,49,111,139,397.6
60,50,107,136,380.2
80,51,123,146,643.1
60,52,106,130,263.0
60,53,118,151,486.0
30,54,136,175,238.0
60,55,121,146,450.7
60,56,118,121,413.0
45,57,115,144,305.0
20,58,153,172,226.4
45,59,123,152,321.0
210,60,108,160,1376.0
160,61,110,137,1034.4
160,62,109,135,853.0
45,63,118,141,341.0
20,64,110,130,131.4
180,65,90,130,800.4
150,66,105,135,873.4
150,67,107,130,816.0
20,68,106,136,110.4
300,69,108,143,1500.2
150,70,97,129,1115.0
60,71,109,153,387.6
90,72,100,127,700.0
150,73,97,127,953.2
45,74,114,146,304.0
90,75,98,125,563.2
45,76,105,134,251.0
45,77,110,141,300.0
120,78,100,130,500.4
270,79,100,131,1729.0
30,80,159,182,319.2
45,81,149,169,344.0
30,82,103,139,151.1
120,83,100,130,500.0
45,84,100,120,225.3
30,85,151,170,300.1
45,86,102,136,234.0
120,87,100,157,1000.1
45,88,129,103,242.0
20,89,83,107,50.3
180,90,101,127,600.1
45,91,107,137,
30,92,90,107,105.3
15,93,80,100,50.5
20,94,150,171,127.4
20,95,151,168,229.4
30,96,95,128,128.2
25,97,152,168,244.2
30,98,109,131,188.2
90,99,93,124,604.1
20,100,95,112,77.7
90,101,90,110,500.0
90,102,90,100,500.0
90,103,90,100,500.4
30,104,92,108,92.7
30,105,93,128,124.0
180,106,90,120,800.3
30,107,90,120,86.2
90,108,90,120,500.3
210,109,137,184,1860.4
60,110,102,124,325.2
45,111,107,124,275.0
15,112,124,139,124.2
45,113,100,120,225.3
60,114,108,131,367.6
60,115,108,151,351.7
60,116,116,141,443.0
60,117,97,122,277.4
60,118,105,125,
60,119,103,124,332.7
30,120,112,137,193.9
45,121,100,120,100.7
60,122,119,169,336.7
60,123,107,127,344.9
60,124,111,151,368.5
60,125,98,122,271.0
60,126,97,124,275.3
60,127,109,127,382.0
90,128,99,125,466.4
60,129,114,151,384.0
60,130,104,134,342.5
60,131,107,138,357.5
60,132,103,133,335.0
60,133,106,132,327.5
60,134,103,136,339.0
20,135,136,156,189.0
45,136,117,143,317.7
45,137,115,137,318.0
45,138,113,138,308.0
20,139,141,162,222.4
60,140,108,135,390.0
60,141,97,127,
45,142,100,120,250.4
45,143,122,149,335.4
60,144,136,170,470.2
45,145,106,126,270.8
60,146,107,136,400.0
60,147,112,146,361.9
30,148,103,127,185.0
60,149,110,150,409.4
60,150,106,134,343.0
60,151,109,129,353.2
60,152,109,138,374.0
30,153,150,167,275.8
60,154,105,128,328.0
60,155,111,151,368.5
60,156,97,131,270.4
60,157,100,120,270.4
60,158,114,150,382.8
30,159,80,120,240.9
30,160,85,120,250.4
45,161,90,130,260.4
45,162,95,130,270.0
45,163,100,140,280.9
60,164,105,140,290.8
60,165,110,145,300.4
60,166,115,145,310.2
75,167,120,150,320.4
75,168,125,150,330.4
